Dia no laboral,x,y,dc,dmc,ffmc,isi,ndvi,temperatura,humedad,viento,precipitaciones,Dia_0.0,Dia_1.0,Dia_2.0,Dia_3.0,Dia_4.0,Dia_5.0,Dia_6.0,Mes_1.0,Mes_2.0,Mes_3.0,Mes_4.0,Mes_5.0,Mes_6.0,Mes_7.0,Mes_8.0,Mes_9.0,Mes_10.0,Mes_11.0,Mes_12.0,Hora_0-8,Hora_8-16,Hora_16-23,elevacion
0.0,43,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.892839432
0.0,44,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.934806824
0.0,45,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.961877823
0.0,46,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.962385178
0.0,47,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.392198563
0.0,48,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.688218117
0.0,49,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.367111206
0.0,50,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-10.0
0.0,51,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-10.0
0.0,52,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.471596718
